lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
EMSPR0569.3,2024,5,6,140,140,QFN,173847,2/2/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G130,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0569.4,2024,5,6,140,140,QFN,173847,2/2/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,13628,EMS0967P,A,2024-EMS-02-G130,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0569.1,2024,5,6,140,140,QFN,173847,2/2/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G142,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0569.2,2024,5,6,140,140,QFN,173847,2/2/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G130,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0570.3,2024,5,6,140,140,QFN,173848,2/2/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,21352,EMS0967P,A,2024-EMS-02-G142,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0570.2,2024,5,6,140,140,QFN,173848,2/2/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G167,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0570.1,2024,5,6,140,140,QFN,173848,2/2/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G142,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0571.2,2024,5,7,140,140,QFN,173849,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0571.1,2024,5,7,140,140,QFN,173849,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,17600,EMS0967P,A,2024-EMS-02-G152,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
EMSPR0571.3,2024,5,7,140,140,QFN,173849,2/3/2024 19:00,G-A,P,EMS,NQ-500E500B032U,117.21A,23253,EMS0967P,A,2024-EMS-02-G158,TUBE,Y,8,1,117.7 X 120.5,,CZ0289
